Structure,File,Extracted Energy,Predicted Energy,Energy Difference
1,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.7792876817,-3560.405137614886,1966.3741500668143
2,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.7724585842,-3560.185905988528,1966.586552595672
3,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.7406097099,-3559.5361705514397,1967.2044391584604
4,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.691009529,-3558.515449348066,1968.1755601809346
5,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.628290224,-3557.216505584577,1969.4117846394229
6,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.5577084835,-3555.7473303577417,1970.8103781257587
7,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.4840441373,-3554.2090944360743,1972.2749497012255
8,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.4107630566,-3552.675770384887,1973.7349926717134
9,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.3396542823,-3551.1838029923606,1975.1558512899396
10,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.2710051682,-3549.7355863556727,1976.535418812527
11,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.2042598413,-3548.3135748368113,1977.8906850044887
12,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.1387315477,-3546.896957099706,1979.2417744479944
13,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.0741343426,-3545.477223582585,1980.596910760015
14,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5526.0108343612,-3544.0632534323663,1981.9475809288338
15,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.9498377012,-3542.6802714623286,1983.269566238871
16,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.8926306233,-3541.3643085241697,1984.52832209913
17,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.8409894901,-3540.1602637237347,1985.680725766365
18,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7967856616,-3539.1177377158647,1986.679047945735
19,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7617631804,-3538.283874452371,1987.4778887280286
20,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7372581454,-3537.695365374894,1988.041892770506
21,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7239365208,-3537.372715999934,1988.3512205208658
22,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7216062078,-3537.3150929663075,1988.4065132414921
23,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.729164227,-3537.4971609415525,1988.2320032854477
24,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7446734034,-3537.8724356259095,1987.8722377774907
25,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7655759133,-3538.378895816229,1987.3866800970713
26,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.7889960081,-3538.945230752899,1986.843765255201
27,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.8120581273,-3539.5004149859315,1986.3116431413682
28,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5525.8324429196,-3539.983286307385,1985.8491566122152
