Structure,File,Extracted Energy,Predicted Energy,Energy Difference
28,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6743267102,-3558.343017138858,1968.331309571342
28,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6686402685,-3558.241660969024,1968.426979299476
29,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6630184404,-3558.1425915585314,1968.5204268818688
30,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6573746288,-3558.04166051375,1968.6157141150507
31,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6514898312,-3557.933905498608,1968.7175843325917
32,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.645247641,-3557.815551537392,1968.8296961036085
33,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.638615071,-3557.6854842084967,1968.9531308625028
34,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6316396277,-3557.5459719728024,1969.0856676548974
35,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6246154491,-3557.4019723726074,1969.2226430764927
36,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6176778553,-3557.2601348508765,1969.3575430044234
37,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6111379352,-3557.12765674154,1969.4834811936598
38,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/min_strain_surface/Active_ZrH_site_simulations/Velocity_softening_dynamics/Forces_and_traj_VSMD1.xyz,-5526.6052323866,-3557.0102184515213,1969.5950139350784
