Structure,File,Extracted Energy,Predicted Energy,Energy Difference
1,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3549863282,-3559.5983912309575,1967.756595097242
2,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3548058016,-3559.5933482958426,1967.7614575057578
3,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3541448143,-3559.579020025929,1967.7751247883707
4,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3527921846,-3559.549861154937,1967.802931029663
5,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3505056841,-3559.4988849631504,1967.85162072095
6,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3470677362,-3559.4203744404367,1967.9266932957635
7,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3423973823,-3559.311935958526,1968.0304614237739
8,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3366193549,-3559.1753716682974,1968.1612476866026
9,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.329948756,-3559.016658942524,1968.3132898134759
10,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.322774395,-3558.84514248179,1968.4776319132102
11,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.3155192094,-3558.6721287126047,1968.6433904967953
12,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.308552833,-3558.509107448983,1968.7994453840174
13,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.302366004,-3558.3653329872905,1968.9370330167094
14,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2970599307,-3558.247081149997,1969.049978780703
15,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2927920353,-3558.1575072697724,1969.135284765528
16,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2895476595,-3558.095686539884,1969.1938611196165
17,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2871058812,-3558.056725809178,1969.230380072022
18,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2853019502,-3558.032588037396,1969.2527139128038
19,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2836491201,-3558.0131439480633,1969.2705051720363
20,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.281762461,-3557.9876096489957,1969.294152812004
21,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2792754598,-3557.9464111944462,1969.3328642653541
22,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2758896684,-3557.8826462134084,1969.3932434549915
23,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2714802194,-3557.7936066025723,1969.4778736168273
24,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.266113166,-3557.6812056442704,1969.5849075217293
25,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.260019992,-3557.5509191865344,1969.7091008054654
26,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2535352501,-3557.4101999673526,1969.8433352827474
27,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2469648963,-3557.266308028081,1969.9806568682188
28,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2404598287,-3557.1240207926917,1970.1164390360086
28,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2342061713,-3556.984172887306,1970.2500332839936
29,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2279418979,-3556.8440018188608,1970.383940079039
30,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2215185311,-3556.6988708591125,1970.5226476719872
31,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2147457614,-3556.544492298534,1970.6702534628662
32,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.2074969638,-3556.3786022443037,1970.828894719496
33,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.1998848919,-3556.2016407899937,1970.9982441019065
34,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.1919997971,-3556.0170277760203,1971.1749720210796
35,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.1841256678,-3555.8308738639203,1971.3532518038796
36,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/max_strain_surface/Adsorption_Complex_Simulations/353K/Forces_and_traj_353_1.xyz,-5527.1765886629,-3555.6505296563782,1971.5260590065218
