Structure,File,Extracted Energy,Predicted Energy,Energy Difference
1,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.290573451,-3558.6541760123882,1968.6363974386113
2,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.3004513571,-3558.554410524161,1968.7460408329393
3,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.286537503,-3558.2656336031123,1969.0209038998873
4,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.264835777,-3557.8157864042178,1969.4490493727826
5,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.2372839927,-3557.246540844168,1969.9907431485321
6,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.2060730557,-3556.605701547024,1970.6003715086754
7,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.1732570024,-3555.9372755077316,1971.235981494668
8,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.1403566142,-3555.2729121686857,1971.8674444455141
9,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.1082132708,-3554.6278993093297,1972.48031396147
10,../../../../../../scratch/lduynkerke/Data_for_ML/Data_for_ML/av_strain_surface/Adsorption_Complex_Simulations/aiMD_773K/Forces_and_traj_773_2.xyz,-5527.0770453722,-3554.00285064504,1973.07419472716
